id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_227,REG - MM 360 Funds plc - Interim Report 31.12.2010,360 funds plc|- interim report|mm|funds|plc|interim|report,nifty_364,REG - Nemesis Fund Plc - Interim Report 30.06.2011,nemesis fund plc|- interim report|nemesis|fund|plc|interim|report,0.8117424,0.4,246
nifty_511,REG - WH Smith PLCLloyds Banking Group - Holding(s) in Company,reg - wh smith plclloyds banking group|holding(s|company|wh|smith|plclloyds|banking|group,nifty_534,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,0.81165975,0.45454545454545453,42
nifty_185,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,nifty_511,REG - WH Smith PLCLloyds Banking Group - Holding(s) in Company,reg - wh smith plclloyds banking group|holding(s|company|wh|smith|plclloyds|banking|group,0.8116597,0.45454545454545453,601
nifty_381,REG - Reed Elsevier PLCLloyds Banking Group - Holding(s) in Company,reg - reed elsevier plclloyds banking group|holding(s|company|reed|elsevier|plclloyds|banking|group,nifty_511,REG - WH Smith PLCLloyds Banking Group - Holding(s) in Company,reg - wh smith plclloyds banking group|holding(s|company|wh|smith|plclloyds|banking|group,0.8116594,0.45454545454545453,240
nifty_134,REG - FTSE - HSBC Holdings PLC,reg - ftse|hsbc holdings plc|ftse|hsbc|holdings|plc,nifty_268,REG - HSBC Holdings PLC - HSBC Fin Corp and HSBC USA Inc presentation,hsbc holdings plc|hsbc fin corp and hsbc usa inc presentation|hsbc|holdings|plc|fin|corp|usa|inc,0.8116495,0.36363636363636365,245
nifty_300,REG - Sterling Energy PLC - Holding(s) in Company,sterling energy plc|holding(s|company|sterling|energy|plc,nifty_338,REG - Alkane Energy PLC - Holding(s) in Company,- alkane energy plc|holding(s|company|alkane|energy|plc,0.81161624,0.5,66
nifty_138,REG - Sterling Energy PLC - Holding(s) in Company,sterling energy plc|holding(s|company|sterling|energy|plc,nifty_338,REG - Alkane Energy PLC - Holding(s) in Company,- alkane energy plc|holding(s|company|alkane|energy|plc,0.8116161,0.5,365
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_478,REG - Bank of Montreal - Publication of Prospectus,montreal|prospectus|bank,0.81159484,0.3333333333333333,654
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_138,REG - Bank of Montreal - Publication of Prospectus,montreal|prospectus|bank,0.8115948,0.3333333333333333,30
nifty_121,REG - Bank of America Corp - Publication of Prospectus,america corp|prospectus|bank|america|corp,nifty_192,REG - Bank of Montreal - Publication of Prospectus,montreal|prospectus|bank,0.8115947,0.3333333333333333,128
